Year,Age,Gender,Race,Value
2013,Under 5 Years,Male,,4.923961092
2013,Under 5 Years,Female,,4.971085238
2013,5 Years,Male,,1.106393005
2013,5 Years,Female,,0.955800624
2013,6 to 11 Years,Male,,5.68614294
2013,6 to 11 Years,Female,,5.26766003
2013,12 to 14 Years,Male,,2.279374478
2013,12 to 14 Years,Female,,2.674295315
2013,15 Years,Male,,0.755010782
2013,15 Years,Female,,0.898944317
2013,16 & 17 Years,Male,,1.818889612
2013,16 & 17 Years,Female,,1.724641319
2013,18 to 24 Years,Male,,8.949490086
2013,18 to 24 Years,Female,,9.30548228
2013,25 to 34 Years,Male,,6.68394552
2013,25 to 34 Years,Female,,8.102792106
2013,35 to 44 Years,Male,,4.381521188
2013,35 to 44 Years,Female,,6.418616087
2013,45 to 54 Years,Male,,4.30981053
2013,45 to 54 Years,Female,,5.735828181
2013,55 to 64 Years,Male,,3.400109615
2013,55 to 64 Years,Female,,3.469259178
2013,65 to 74 Years,Male,,1.300011781
2013,65 to 74 Years,Female,,2.29371661
2013,75 Years & Over,Male,,0.777036199
2013,75 Years & Over,Female,,1.810181889
2013,,,White,38.14072894
2013,,,Hispanic,26.83256816
2013,,,Black,22.7437459
2013,,,Other,6.831818608
2013,,,Asian,2.686779725
2013,,,Two Or More,2.282394828
2013,,,Native American,0.442612199
2013,,,Pacific Islander,0.039351635
2014,Under 5 Years,Male,,4.914811854
2014,Under 5 Years,Female,,5.104546899
2014,5 Years,Male,,1.160562078
2014,5 Years,Female,,0.856215508
2014,6 to 11 Years,Male,,5.503279431
2014,6 to 11 Years,Female,,5.194598812
2014,12 to 14 Years,Male,,2.373614308
2014,12 to 14 Years,Female,,2.5850196
2014,15 Years,Male,,0.940007127
2014,15 Years,Female,,1.01175972
2014,16 & 17 Years,Male,,1.839081567
2014,16 & 17 Years,Female,,1.591559198
2014,18 to 24 Years,Male,,8.351712913
2014,18 to 24 Years,Female,,8.858315114
2014,25 to 34 Years,Male,,6.702366391
2014,25 to 34 Years,Female,,8.235175144
2014,35 to 44 Years,Male,,4.585424111
2014,35 to 44 Years,Female,,6.66432307
2014,45 to 54 Years,Male,,4.478517563
2014,45 to 54 Years,Female,,5.820628148
2014,55 to 64 Years,Male,,3.312658313
2014,55 to 64 Years,Female,,3.581850928
2014,65 to 74 Years,Male,,1.289138873
2014,65 to 74 Years,Female,,2.295119861
2014,75 Years & Over,Male,,0.86151268
2014,75 Years & Over,Female,,1.888200792
2014,,,White,38.03780725
2014,,,Hispanic,27.2383889
2014,,,Black,22.63844847
2014,,,Other,6.151824664
2014,,,Asian,3.116382558
2014,,,Two Or More,2.456244854
2014,,,Native American,0.301336744
2014,,,Pacific Islander,0.059566566
2015,Under 5 Years,Male,,4.783777043
2015,Under 5 Years,Female,,5.189915713
2015,5 Years,Male,,1.161001275
2015,5 Years,Female,,0.888516582
2015,6 to 11 Years,Male,,5.419104048
2015,6 to 11 Years,Female,,5.112264635
