Year,County,Topic,Value
2016,Orange,English,301
2016,Seminole,English,306
2016,Osceola,English,298
2016,Lake,English,302
2016,Orange,Math,300
2016,Seminole,Math,305
2016,Osceola,Math,297
2016,Lake,Math,302
2017,Orange,English,302
2017,Seminole,English,307
2017,Osceola,English,300
2017,Lake,English,305
2017,Orange,Math,303
2017,Seminole,Math,305
2017,Osceola,Math,299
2017,Lake,Math,304
2018,Orange,English,300
2018,Seminole,English,306
2018,Osceola,English,298
2018,Lake,English,303
2018,Orange,Math,301
2018,Seminole,Math,305
2018,Osceola,Math,296
2018,Lake,Math,303
2019,Orange,English,300
2019,Seminole,English,307
2019,Osceola,English,298
2019,Lake,English,302
2019,Orange,Math,301
2019,Seminole,Math,306
2019,Osceola,Math,298
2019,Lake,Math,301
