Year,Month,Value
2012,January,9.6
2012,February,9.2
2012,March,8.9
2012,April,8.5
2012,May,8.7
2012,June,9.1
2012,July,9.2
2012,August,8.8
2012,September,8.3
2012,October,8.1
2012,November,7.8
2012,December,7.9
2013,January,8.4
2013,February,7.8
2013,March,7.4
2013,April,7.1
2013,May,7.2
2013,June,7.6
2013,July,7.5
2013,August,7.3
2013,September,7
2013,October,7
2013,November,6.7
2013,December,6.4
2014,January,6.7
2014,February,6.5
2014,March,6.4
2014,April,5.9
2014,May,6.1
2014,June,6.3
2014,July,6.6
2014,August,6.4
2014,September,6
2014,October,5.8
2014,November,5.8
2014,December,5.5
2015,January,6
2015,February,5.5
2015,March,5.2
2015,April,5
2015,May,5.3
2015,June,5.4
2015,July,5.4
2015,August,5.2
2015,September,5
2015,October,4.9
2015,November,4.9
2015,December,4.7
2016,January,4.9
2016,February,4.5
2016,March,4.5
2016,April,4.3
2016,May,4.2
2016,June,4.7
2016,July,4.8
2016,August,4.7
2016,September,4.6
2016,October,4.5
2016,November,4.3
2016,December,4.2
2017,January,4.6
2017,February,4.2
2017,March,3.9
2017,April,3.7
2017,May,3.8
2017,June,4.1
2017,July,4.2
2017,August,4.2
2017,September,3.8
2017,October,3.7
2017,November,3.7
2017,December,3.5
2018,January,3.9
2018,February,3.6
2018,March,3.5
2018,April,3.2
2018,May,3.2
2018,June,3.7
2018,July,3.7
2018,August,3.6
2018,September,3.2
2018,October,3.2
2018,November,3.1
2018,December,3.2
2019,January,3.7
2019,February,3.2
2019,March,3.1
2019,April,2.8
2019,May,3
2019,June,3.3
2019,July,3.4
2019,August,3.3
2019,September,3
2019,October,2.9
2019,November,2.8
2019,December,2.6
2020,January,3
2020,February,2.5
2020,March,4.7
2020,April,16.6
2020,May,22.2
2020,June,18.9
2020,July,16.9
2020,August,12.3
2020,September,10.9
2020,October,8.9
2020,November,7.9
2020,December,7.2
2021,January,7.1
2021,February,6.2
2021,March,5.8
2021,April,5.5
2021,May,5.3
2021,June,5.7
2021,July,5.2
2021,August,4.9
2021,September,4.3
2021,October,4
2021,November,3.6
2021,December,3.2
2022,January,3.8
2022,February,3.4
2022,March,2.9
2022,April,2.6
2022,May,2.7
