Year,Value,Units
2018,9292,Adopted Budget (Million $)
2018,8574,Actual Expenditures (Million $)
2018,92,Expenditure as a Proportion of Adopted Budget (%)
2017,8777,Adopted Budget (Million $)
2017,8291,Actual Expenditures (Million $)
2017,94,Expenditure as a Proportion of Adopted Budget (%)
2016,8583,Adopted Budget (Million $)
2016,7778,Actual Expenditures (Million $)
2016,91,Expenditure as a Proportion of Adopted Budget (%)
2015,8122,Adopted Budget (Million $)
2015,7421,Actual Expenditures (Million $)
2015,91,Expenditure as a Proportion of Adopted Budget (%)
2014,7686,Adopted Budget (Million $)
2014,7076,Actual Expenditures (Million $)
2014,92,Expenditure as a Proportion of Adopted Budget (%)
2013,7246,Adopted Budget (Million $)
2013,6747,Actual Expenditures (Million $)
2013,93,Expenditure as a Proportion of Adopted Budget (%)
2012,6872,Adopted Budget (Million $)
2012,6607,Actual Expenditures (Million $)
2012,96,Expenditure as a Proportion of Adopted Budget (%)
2011,6749,Adopted Budget (Million $)
2011,6433,Actual Expenditures (Million $)
2011,95,Expenditure as a Proportion of Adopted Budget (%)
