Year,Permanent or Seasonal Water Bodies,Value
1984,Permanent,196.8529842
1985,Permanent,201.4130538
1986,Permanent,201.4448864
1987,Permanent,200.8365235
1988,Permanent,198.1066157
1989,Permanent,200.976863
1990,Permanent,199.934909
1991,Permanent,202.0735405
1992,Permanent,191.0156791
1993,Permanent,203.103038
1994,Permanent,201.8552957
1995,Permanent,208.8216051
1996,Permanent,208.2674118
1997,Permanent,212.4956245
1998,Permanent,199.1219668
1999,Permanent,209.0595669
2000,Permanent,203.9130874
2001,Permanent,198.0765607
2002,Permanent,198.6982968
2003,Permanent,207.2343117
2004,Permanent,212.7708529
2005,Permanent,214.4854462
2006,Permanent,214.0125709
2007,Permanent,208.2989219
2008,Permanent,209.3357281
2009,Permanent,209.2455612
2010,Permanent,211.9871107
2011,Permanent,208.3803704
2012,Permanent,203.911306
2013,Permanent,207.236549
2014,Permanent,207.4316989
2015,Permanent,210.3527818
2016,Permanent,212.3290493
2017,Permanent,212.7541284
2018,Permanent,209.2426818
1984,Seasonal,29.06327108
1985,Seasonal,26.19538718
1986,Seasonal,29.85648927
1987,Seasonal,35.6454574
1988,Seasonal,33.61834868
1989,Seasonal,31.58054121
1990,Seasonal,25.18048657
1991,Seasonal,28.80667016
1992,Seasonal,38.8842593
1993,Seasonal,32.16991331
1994,Seasonal,37.94760791
1995,Seasonal,37.58951516
1996,Seasonal,41.60998119
1997,Seasonal,23.8089392
1998,Seasonal,44.01322098
1999,Seasonal,33.91865843
2000,Seasonal,34.37499159
2001,Seasonal,36.87057245
2002,Seasonal,41.7951279
2003,Seasonal,36.8172197
2004,Seasonal,34.20508244
2005,Seasonal,33.8298269
2006,Seasonal,33.14517829
2007,Seasonal,34.98525678
2008,Seasonal,38.49565388
2009,Seasonal,37.16689802
2010,Seasonal,38.38993235
2011,Seasonal,37.43592885
2012,Seasonal,32.13539583
2013,Seasonal,34.80390783
2014,Seasonal,36.14043809
2015,Seasonal,39.05803262
2016,Seasonal,39.05303491
2017,Seasonal,52.35210711
2018,Seasonal,56.24716364
