Year,Value,Units
2010,295,Homicides by victim gender
2011,298,Homicides by victim gender
2012,298,Homicides by victim gender
2013,251,Homicides by victim gender
2014,260,Homicides by victim gender
2015,282,Homicides by victim gender
2016,295,Homicides by victim gender
2017,281,Homicides by victim gender
2018,259,Homicides by victim gender
2019,255,Homicides by victim gender
2010,295,Homicides by victim descent
2011,298,Homicides by victim descent
2012,298,Homicides by victim descent
2013,251,Homicides by victim descent
2014,260,Homicides by victim descent
2015,282,Homicides by victim descent
2016,295,Homicides by victim descent
2017,281,Homicides by victim descent
2018,259,Homicides by victim descent
2019,255,Homicides by victim descent
