Year,Value,Units
2013,26878437,Total Appropriations for the Community Development Trust Fund
2013,1519474,Total Appropriations for the Community Services Block Grant Trust Fund
2014,22495657,Total Appropriations for the Community Development Trust Fund
2014,1596503,Total Appropriations for the Community Services Block Grant Trust Fund
2015,20535490,Total Appropriations for the Community Development Trust Fund
2015,1360392,Total Appropriations for the Community Services Block Grant Trust Fund
2016,21910312,Total Appropriations for the Community Development Trust Fund
2016,1460392,Total Appropriations for the Community Services Block Grant Trust Fund
2017,19407771,Total Appropriations for the Community Development Trust Fund
2017,1837449,Total Appropriations for the Community Services Block Grant Trust Fund
2018,24533183,Total Appropriations for the Community Development Trust Fund
2018,1800000,Total Appropriations for the Community Services Block Grant Trust Fund
2019,21529909,Total Appropriations for the Community Development Trust Fund
2019,1591140,Total Appropriations for the Community Services Block Grant Trust Fund
