Year,Value,Units
2018,30848.0,Total Physician and Surgeon Licenses
2017,30659.0,Total Physician and Surgeon Licenses
2016,30160.0,Total Physician and Surgeon Licenses
2015,29118.0,Total Physician and Surgeon Licenses
2014,29120.0,Total Physician and Surgeon Licenses
2013,28672.0,Total Physician and Surgeon Licenses
2012,28181.0,Total Physician and Surgeon Licenses
2018,7.73,"Total Physician and Surgeon Licenses per 1,000 population"
2017,7.67,"Total Physician and Surgeon Licenses per 1,000 population"
2016,7.58,"Total Physician and Surgeon Licenses per 1,000 population"
2015,7.33,"Total Physician and Surgeon Licenses per 1,000 population"
2014,7.41,"Total Physician and Surgeon Licenses per 1,000 population"
2013,7.38,"Total Physician and Surgeon Licenses per 1,000 population"
2012,7.3,"Total Physician and Surgeon Licenses per 1,000 population"
