Year,Value,Units
2012,75.3,High school graduate or higher
2012,31.5,Bachelor's degree or higher
2013,74.6,High school graduate or higher
2013,31.4,Bachelor's degree or higher
2014,76.1,High school graduate or higher
2014,32.3,Bachelor's degree or higher
2015,76.4,High school graduate or higher
2015,32.6,Bachelor's degree or higher
2016,76.5,High school graduate or higher
2016,32.8,Bachelor's degree or higher
2017,77.6,High school graduate or higher
2017,34.4,Bachelor's degree or higher
2018,77.6,High school graduate or higher
2018,34.5,Bachelor's degree or higher
2019,78.5,High school graduate or higher
2019,35.9,Bachelor's degree or higher
